block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7
NN2_BEG_00-SS2_END_00-0,0,0,-116,0,-116,406,2116,406,2116,-910,2124,-910,2124,-3000,2000,-3000
NN2_BEG_01-SS2_END_01-0,0,0,-117,0,-117,411,2117,411,2117,-902,2125,-902,2125,-3000,2000,-3000
NN2_BEG_02-SS2_END_02-0,0,0,-118,0,-118,416,2118,416,2118,-894,2126,-894,2126,-3000,2000,-3000
NN2_BEG_03-SS2_END_03-0,0,0,-119,0,-119,421,2119,421,2119,-886,2127,-886,2127,-3000,2000,-3000
NN2_BEG_04-SS2_END_04-0,0,0,-120,0,-120,426,2120,426,2120,-878,2128,-878,2128,-3000,2000,-3000
NN2_BEG_05-SS2_END_05-0,0,0,-121,0,-121,431,2121,431,2121,-870,2129,-870,2129,-3000,2000,-3000
NN2_BEG_06-SS2_END_06-0,0,0,-122,0,-122,436,2122,436,2122,-862,2130,-862,2130,-3000,2000,-3000
NN2_BEG_07-SS2_END_07-0,0,0,-123,0,-123,441,2123,441,2123,-854,2131,-854,2131,-3000,2000,-3000
NN2_BEG_00-SS2_END_00-1,0,0,-116,0,-116,2090,-124,2090,-124,3414,2124,3414,2124,3000,2000,3000
NN2_BEG_01-SS2_END_01-1,0,0,-117,0,-117,2090,-125,2090,-125,3419,2125,3419,2125,3000,2000,3000
NN2_BEG_02-SS2_END_02-1,0,0,-118,0,-118,2090,-126,2090,-126,3424,2126,3424,2126,3000,2000,3000
NN2_BEG_03-SS2_END_03-1,0,0,-119,0,-119,2090,-127,2090,-127,3429,2127,3429,2127,3000,2000,3000
NN2_BEG_04-SS2_END_04-1,0,0,-120,0,-120,2090,-128,2090,-128,3434,2128,3434,2128,3000,2000,3000
NN2_BEG_05-SS2_END_05-1,0,0,-121,0,-121,2090,-129,2090,-129,3439,2129,3439,2129,3000,2000,3000
NN2_BEG_06-SS2_END_06-1,0,0,-122,0,-122,2090,-130,2090,-130,3444,2130,3444,2130,3000,2000,3000
NN2_BEG_07-SS2_END_07-1,0,0,-123,0,-123,2090,-131,2090,-131,3449,2131,3449,2131,3000,2000,3000
SS2_BEG_00-NN2_END_00-0,0,0,116,0,116,-406,-2116,-406,-2116,910,-2124,910,-2124,3000,-2000,3000
SS2_BEG_01-NN2_END_01-0,0,0,117,0,117,-411,-2117,-411,-2117,902,-2125,902,-2125,3000,-2000,3000
SS2_BEG_02-NN2_END_02-0,0,0,118,0,118,-416,-2118,-416,-2118,894,-2126,894,-2126,3000,-2000,3000
SS2_BEG_03-NN2_END_03-0,0,0,119,0,119,-421,-2119,-421,-2119,886,-2127,886,-2127,3000,-2000,3000
SS2_BEG_04-NN2_END_04-0,0,0,120,0,120,-426,-2120,-426,-2120,878,-2128,878,-2128,3000,-2000,3000
SS2_BEG_05-NN2_END_05-0,0,0,121,0,121,-431,-2121,-431,-2121,870,-2129,870,-2129,3000,-2000,3000
SS2_BEG_06-NN2_END_06-0,0,0,122,0,122,-436,-2122,-436,-2122,862,-2130,862,-2130,3000,-2000,3000
SS2_BEG_07-NN2_END_07-0,0,0,123,0,123,-441,-2123,-441,-2123,854,-2131,854,-2131,3000,-2000,3000
SS2_BEG_00-NN2_END_00-1,0,0,116,0,116,-2090,124,-2090,124,-3414,-2124,-3414,-2124,-3000,-2000,-3000
SS2_BEG_01-NN2_END_01-1,0,0,117,0,117,-2090,125,-2090,125,-3419,-2125,-3419,-2125,-3000,-2000,-3000
SS2_BEG_02-NN2_END_02-1,0,0,118,0,118,-2090,126,-2090,126,-3424,-2126,-3424,-2126,-3000,-2000,-3000
SS2_BEG_03-NN2_END_03-1,0,0,119,0,119,-2090,127,-2090,127,-3429,-2127,-3429,-2127,-3000,-2000,-3000
SS2_BEG_04-NN2_END_04-1,0,0,120,0,120,-2090,128,-2090,128,-3434,-2128,-3434,-2128,-3000,-2000,-3000
SS2_BEG_05-NN2_END_05-1,0,0,121,0,121,-2090,129,-2090,129,-3439,-2129,-3439,-2129,-3000,-2000,-3000
SS2_BEG_06-NN2_END_06-1,0,0,122,0,122,-2090,130,-2090,130,-3444,-2130,-3444,-2130,-3000,-2000,-3000
SS2_BEG_07-NN2_END_07-1,0,0,123,0,123,-2090,131,-2090,131,-3449,-2131,-3449,-2131,-3000,-2000,-3000
